time_s,road_mm,baseline_mm,revised_mm
0.00000000,-5.00000000,-5.00000000,-5.00000000
0.00500000,-5.00000000,-5.00000000,-5.00000000
0.01000000,-5.00000000,-5.00000000,-5.00000000
0.01500000,-5.00000000,-5.00000000,-5.00000000
0.02000000,-5.00000000,-5.00000000,-5.00000000
0.02500000,-5.00000000,-5.00000000,-5.00000000
0.03000000,-5.00000000,-5.00000000,-5.00000000
0.03500000,-5.00000000,-5.00000000,-5.00000000
0.04000000,-5.00000000,-5.00000000,-5.00000000
0.04500000,-5.00000000,-5.00000000,-5.00000000
0.05000000,-5.00000000,-5.00000000,-5.00000000
0.05500000,-5.00000000,-5.00000000,-5.00000000
0.06000000,-5.00000000,-5.00000000,-5.00000000
0.06500000,-5.00000000,-5.00000000,-5.00000000
0.07000000,-5.00000000,-5.00000000,-5.00000000
0.07500000,-5.00000000,-5.00000000,-5.00000000
0.08000000,-5.00000000,-5.00000000,-5.00000000
0.08500000,-5.00000000,-5.00000000,-5.00000000
0.09000000,-5.00000000,-5.00000000,-5.00000000
0.09500000,-5.00000000,-5.00000000,-5.00000000
0.10000000,-5.00000000,-5.00000000,-5.00000000
0.10500000,-5.00000000,-5.00000000,-5.00000000
0.11000000,-5.00000000,-5.00000000,-5.00000000
0.11500000,-5.00000000,-5.00000000,-5.00000000
0.12000000,-5.00000000,-5.00000000,-5.00000000
0.12500000,-5.00000000,-5.00000000,-5.00000000
0.13000000,-5.00000000,-5.00000000,-5.00000000
0.13500000,-5.00000000,-5.00000000,-5.00000000
0.14000000,-5.00000000,-5.00000000,-5.00000000
0.14500000,-5.00000000,-5.00000000,-5.00000000
0.15000000,-5.00000000,-5.00000000,-5.00000000
0.15500000,-5.00000000,-5.00000000,-5.00000000
0.16000000,-5.00000000,-5.00000000,-5.00000000
0.16500000,-5.00000000,-5.00000000,-5.00000000
0.17000000,-5.00000000,-5.00000000,-5.00000000
0.17500000,-5.00000000,-5.00000000,-5.00000000
0.18000000,-5.00000000,-5.00000000,-5.00000000
0.18500000,-5.00000000,-5.00000000,-5.00000000
0.19000000,-5.00000000,-5.00000000,-5.00000000
0.19500000,-5.00000000,-5.00000000,-5.00000000
0.20000000,-5.00000000,-5.00000000,-5.00000000
0.20500000,-5.00000000,-5.00000000,-5.00000000
0.21000000,-5.00000000,-5.00000000,-5.00000000
0.21500000,-5.00000000,-5.00000000,-5.00000000
0.22000000,-5.00000000,-5.00000000,-5.00000000
0.22500000,-5.00000000,-5.00000000,-5.00000000
0.23000000,-5.00000000,-5.00000000,-5.00000000
0.23500000,-5.00000000,-5.00000000,-5.00000000
0.24000000,-5.00000000,-5.00000000,-5.00000000
0.24500000,-5.00000000,-5.00000000,-5.00000000
0.25000000,-5.00000000,-5.00000000,-5.00000000
0.25500000,-5.00000000,-5.00000000,-5.00000000
0.26000000,-5.00000000,-5.00000000,-5.00000000
0.26500000,-5.00000000,-5.00000000,-5.00000000
0.27000000,-5.00000000,-5.00000000,-5.00000000
0.27500000,-5.00000000,-5.00000000,-5.00000000
0.28000000,-5.00000000,-5.00000000,-5.00000000
0.28500000,-5.00000000,-5.00000000,-5.00000000
0.29000000,-5.00000000,-5.00000000,-5.00000000
0.29500000,-5.00000000,-5.00000000,-5.00000000
0.30000000,-5.00000000,-5.00000000,-5.00000000
0.30500000,-5.00000000,-5.00000000,-5.00000000
0.31000000,-5.00000000,-5.00000000,-5.00000000
0.31500000,-5.00000000,-5.00000000,-5.00000000
0.32000000,-5.00000000,-5.00000000,-5.00000000
